path,transcript
output-wav/f3wav00000.wav,dia macam pelik Gilalah dia kata kenapa kau nak tidur kat pantai kan dia bawa aku pergi ke tepi pantai
output-wav/f3wav00001.wav,background dragon
output-wav/f3wav00002.wav,perut bapa haruan iaitu norazwan Mukhriz dia terkejut melihat status WhatsApp anaknya
output-wav/f3wav00003.wav,kita nampak berdasarkan siapa kita hari ini
output-wav/f3wav00004.wav,tak buat ucapan 2019
output-wav/f3wav00005.wav,tengok perkataan Ada juga benda benda yang lain kita boleh tengok contohnya dalam kamus ni ada perkataan dan ada cara
output-wav/f3wav00006.wav,untuk time Jom kita makan di tepi jalan
output-wav/f3wav00007.wav,template dia untuk orang semua kan So macam Senanglah
output-wav/f3wav00008.wav,football yang I promise nak sangat sangat sangat suka dengan formation Dia main 4 pintu wanpis
output-wav/f3wav00009.wav,Kita ada dekat 7E giveaway bila kau tak cek bagi duit ni kita nak baju macam macam
output-wav/f3wav00010.wav,no like macam cool kecil tak Sebenarnya orang selalu guna ayat tu Cuma dia tak ada highlight kan kita pi sebenarnya kopi kopi
output-wav/f3wav00011.wav,Relaks ah Dia campur dia Dia follow dia game ada game antara dua orang moral dalam kisah dalam movie ni dia
output-wav/f3wav00012.wav,kosong boleh lukis lukis semua Esok benda tu sendiri Saya juga ke Lepas tu jiran minta suruh saya tengok
output-wav/f3wav00013.wav,ada orang lain dah mati orang tak sepatutnya mati siapalah tak sampai mati tu engkau dah kena tipu jadi ahli recommended
output-wav/f3wav00014.wav,Sebab tulah kita hukuman tiga defender macam nak aktifkan kan Tapi dia pos AEON rongsok bagi aku kan kantin ni ada satu
output-wav/f3wav00015.wav,senyap tak ada tak ada tak ada yang paling terkejut
output-wav/f3wav00016.wav,Kalau you dapat yang sama Jah kat situ orang takkan nak kenal macam mana
output-wav/f3wav00017.wav,sebab download cakap teringin macam mana kalau contoh ada orang tu dia macam tuan dia tak support dia duduk
output-wav/f3wav00018.wav,sendiri kepada orang orang yang lebih layak lagi
output-wav/f3wav00019.wav,layankan saja dia punya hati sebab keluar daripada kita punya hati dia untuk orang yang ada masa kau bersendiri
output-wav/f3wav00020.wav,nak juga sombong itu dia berjaya menggunakan kelebihan itu untuk memenangkan Piala Presiden kepada calon
output-wav/f3wav00021.wav,tapi masa tu tak ada permintaan hari ini dia dia slow lah memang
output-wav/f3wav00022.wav,dengan cermin terselamatlah dan Ada sebuah biji bola besi diuji pada ketinggian 10 kaki di drop
output-wav/f3wav00023.wav,yang terperangkap dalam sistem hidupan yang lain ditanya di masa lalu
output-wav/f3wav00024.wav,perjalanan kehidupan kita terperangkap kita tersangkut dengan komitmen dengan apa tu
output-wav/f3wav00025.wav,dimana saya skor a pa p a pa you UPSR score
output-wav/f3wav00026.wav,masih hensem Apakah status dunia
output-wav/f3wav00027.wav,aku kata aku try berlaku nak pergi sini kita WhatsApp berkenalan minum kopi satu
output-wav/f3wav00028.wav,dan ada juga yang bagi satu contoh lain untuk mempelajari seni lukis
